Outdoor Ausruestung,,,
,Ausruestung,Preis,Url
,,,
Kleidung,,,
,Hose,,
,Handschuhe,"14,99",https://www.bw-online-shop.com/handschuhe-army-gloves.html
,Schuhe,"64,95",https://www.bundeswehr-und-mehr.de/wanderschuhe-bergschuhe-outdoor-squad-stiefel-bw-schuhe_4997
,,,
,,,
Transport,,,
,Rucksack,"44,9",https://www.bw-online-shop.com/bw-kampfrucksack-gen-ii-molle.html
,,,
,,,
Lampen,,,
,Taschenlampe,"69,95",https://www.bundeswehr-und-mehr.de/camping-outdoor/orientierung-licht/lampen/ledlenser-taschenlampe-p-serie_5069
,Lampe,"44,95",https://www.bw-online-shop.com/led-campinglaterne-spotlight.html
,Stirnlampe,"39,95",https://www.bw-online-shop.com/led-kopflampe-nu35-dual-power.html
,,,
,,,
Tools,,,
,Messer,"219,95",https://www.knivesandtools.de/de/pt/-esee-knives-model-6-dark-earth-esee-6p-de-zytelscheide.htm
,Paracord,"9,99",https://www.bw-online-shop.com/commando-seil-15-meter-9mm.html
,Wasserfilter,"27,95",https://www.bundeswehr-und-mehr.de/camping-outdoor/verpflegung-besteck/trinkflaschen/paany-wasserfilter-mit-flasche_5277
,Erste Hilfe Set,"17,99",https://www.bw-online-shop.com/first-aid-kit-large.html
,Feuerstahl,"5,95",https://www.bundeswehr-und-mehr.de/ausruestung/kocher-lampen/esbitkocher/militaer-zuendstein-fire-steel_5232
,Kochgeschier,"24,95",https://www.bundeswehr-und-mehr.de/original-bundeswehr-set-kochgeschirr-3-tlg-essbesteck-4-tlg-bw_4236
,,,
Uebernachtung,,,
,,,
,Tarp,"24,95",https://www.bundeswehr-und-mehr.de/ausruestung/tarnung/abdeckplanen/bw-mehrzweckplane-tarp_5030
,Schlafsack,"42,95",https://www.bundeswehr-und-mehr.de/commando-schlafsack-mit-packsack_5024
,Isomatte,"29,95",https://www.bundeswehr-und-mehr.de/ausruestung/schlafen-isomatten/isomatten/militaer-thermomatte-waffle-selbstaufblasend_5636
,Hängematte,"79,99",https://www.bw-online-shop.com/hangematte-moskito-traveller-forest.html
,Kopfkissen,"12,99",https://www.bw-online-shop.com/kissen-selbstaufblasend.html
,,,
,,,
,,,
,Gesamt,"777,3",
,,,
Quellen,,,
,https://www.bw-online-shop.com,,
,https://www.bundeswehr-und-mehr.de,,
,https://www.knivesandtools.de,,
